School_ID,Destination_School_ID,distance
400046,610254,0.0000
400079,400080,0.0000
400080,400079,0.0000
609794,610212,0.0000
609916,610530,0.0000
610210,610320,0.0000
610212,609794,0.0000
610232,610336,0.0000
610248,610249,0.0000
610249,610248,0.0000
610250,610251,0.0000
610251,610250,0.0000
610254,400046,0.0000
610320,610210,0.0000
610336,610232,0.0000
610530,609916,0.0000
400049,610056,53.5657
610056,400049,53.5657
400076,609951,58.9779
609951,400076,58.9779
400107,610200,60.1124
610200,400107,60.1124
400044,610123,102.6306
610123,400044,102.6306
400040,610503,108.0723
610503,400040,108.0723
400078,610345,139.7779
610345,400078,139.7779
400146,610092,146.5077
610092,400146,146.5077
609921,610017,178.6436
610017,609921,178.6436
400047,610243,296.9899
610243,400047,296.9899
609794,609994,347.6561
609994,609794,347.6561
609994,610212,347.6561
610212,609994,347.6561
400095,610055,375.2867
610055,400095,375.2867
609812,610308,391.9044
610308,609812,391.9044
400039,610320,398.5996
400039,610210,398.5996
610210,400039,398.5996
610320,400039,398.5996
400029,610150,421.0945
610150,400029,421.0945
610226,610532,432.8800
610532,610226,432.8800
610017,610184,505.9328
610184,610017,505.9328
400101,610317,511.7044
610317,400101,511.7044
400043,610308,514.1058
610308,400043,514.1058
609925,610365,522.7203
610365,609925,522.7203
610063,610215,572.0465
610215,610063,572.0465
400096,610029,604.5817
610029,400096,604.5817
609921,610184,683.0077
610184,609921,683.0077
609938,609950,727.0558
609950,609938,727.0558
610098,610100,731.1203
610100,610098,731.1203
609780,609968,733.5256
609968,609780,733.5256
400043,609812,838.3984
609812,400043,838.3984
400021,609906,866.7452
609906,400021,866.7452
610112,610265,895.7495
610265,610112,895.7495
609985,610348,901.7400
610348,609985,901.7400
609826,609834,913.5955
609834,609826,913.5955
610313,610342,917.1940
610342,610313,917.1940
400074,400116,923.0595
400116,400074,923.0595
609993,610167,930.7113
610167,609993,930.7113
610136,610549,948.1271
610549,610136,948.1271
610156,610305,949.2539
610305,610156,949.2539
610024,610273,955.9560
610273,610024,955.9560
610018,610175,961.7852
610175,610018,961.7852
609983,609993,1005.6003
609993,609983,1005.6003
609952,610319,1007.6220
610319,609952,1007.6220
400017,609972,1007.8130
609972,400017,1007.8130
609991,610240,1023.6097
610240,609991,1023.6097
610141,610355,1024.8123
610355,610141,1024.8123
609835,610021,1036.0421
610021,609835,1036.0421
400011,400095,1042.5540
400095,400011,1042.5540
609925,610271,1043.9461
610271,609925,1043.9461
610109,610287,1091.2443
610287,610109,1091.2443
400068,610156,1093.2220
610156,400068,1093.2220
610218,610350,1107.5043
610350,610218,1107.5043
400040,610221,1111.5266
610221,400040,1111.5266
610221,610503,1113.9193
610503,610221,1113.9193
609918,610284,1134.0853
610284,609918,1134.0853
609826,610024,1150.5053
610024,609826,1150.5053
400027,609857,1169.0325
609857,400027,1169.0325
609932,609943,1170.5326
609943,609932,1170.5326
609906,610367,1188.2668
610367,609906,1188.2668
400115,610067,1198.7565
610067,400115,1198.7565
610089,610321,1199.4078
610321,610089,1199.4078
400021,609904,1241.3799
609904,400021,1241.3799
610061,610110,1246.3762
610110,610061,1246.3762
610293,610348,1258.2774
610348,610293,1258.2774
400074,610521,1278.6322
610521,400074,1278.6322
610076,610234,1285.9570
610234,610076,1285.9570
400092,609848,1289.7218
609848,400092,1289.7218
400048,610023,1296.9556
610023,400048,1296.9556
400081,609867,1299.8557
609867,400081,1299.8557
400114,609854,1314.0382
609854,400114,1314.0382
610101,610251,1316.3983
610101,610250,1316.3983
610250,610101,1316.3983
610251,610101,1316.3983
400024,609986,1318.0665
609986,400024,1318.0665
400050,610319,1319.5545
610319,400050,1319.5545
400011,610055,1324.3518
610055,400011,1324.3518
609964,610148,1326.1706
610148,609964,1326.1706
400049,610005,1327.3525
610005,400049,1327.3525
609887,610130,1328.1431
610130,609887,1328.1431
610271,610365,1329.2499
610365,610271,1329.2499
609926,610048,1333.2041
610048,609926,1333.2041
610021,610044,1333.6299
610044,610021,1333.6299
609781,610246,1338.0499
610246,609781,1338.0499
400069,610257,1338.3384
610257,400069,1338.3384
400082,610039,1351.1260
610039,400082,1351.1260
400060,610122,1371.0714
610122,400060,1371.0714
610005,610056,1371.1948
610056,610005,1371.1948
400121,609818,1372.3938
609818,400121,1372.3938
400025,610138,1374.6313
610138,400025,1374.6313
610148,610167,1376.9584
610167,610148,1376.9584
400024,609929,1377.4599
609929,400024,1377.4599
400028,609900,1378.7210
609900,400028,1378.7210
609967,610125,1400.1065
610125,609967,1400.1065
400011,610271,1402.8351
610271,400011,1402.8351
609775,610238,1410.8104
610238,609775,1410.8104
610023,610121,1412.9611
610121,610023,1412.9611
400079,609903,1413.5271
400080,609903,1413.5271
609903,400080,1413.5271
609903,400079,1413.5271
609850,610078,1415.1238
610078,609850,1415.1238
400046,609991,1415.1288
609991,400046,1415.1288
609991,610254,1415.1288
610254,609991,1415.1288
400114,610031,1415.6581
610031,400114,1415.6581
609869,610161,1423.1383
610161,609869,1423.1383
609958,610170,1429.5005
610170,609958,1429.5005
610229,610342,1429.8727
610342,610229,1429.8727
609989,610405,1435.5084
610405,609989,1435.5084
609780,609930,1438.3640
609930,609780,1438.3640
609873,610273,1439.1898
610273,609873,1439.1898
609869,610285,1440.7474
610285,609869,1440.7474
400115,610053,1442.9194
610053,400115,1442.9194
609991,610034,1455.6345
610034,609991,1455.6345
400048,610121,1456.5504
610121,400048,1456.5504
400026,610032,1471.4750
610032,400026,1471.4750
609797,610257,1472.4099
610257,609797,1472.4099
610144,610541,1474.1371
610541,610144,1474.1371
610075,610548,1475.9393
610548,610075,1475.9393
400044,610254,1479.4594
400044,400046,1479.4594
400046,400044,1479.4594
610254,400044,1479.4594
610223,610238,1480.4253
610238,610223,1480.4253
610126,610395,1482.5487
610395,610126,1482.5487
609967,610129,1485.7870
610129,609967,1485.7870
610068,610533,1491.8951
610533,610068,1491.8951
400031,609839,1496.9985
609839,400031,1496.9985
610066,610093,1505.3398
610093,610066,1505.3398
400092,609845,1510.0253
609845,400092,1510.0253
610242,610363,1513.8028
610363,610242,1513.8028
610012,610534,1528.9053
610534,610012,1528.9053
610051,610068,1530.4410
610068,610051,1530.4410
400046,610123,1533.0602
610123,610254,1533.0602
610123,400046,1533.0602
610254,610123,1533.0602
400044,609991,1542.8183
609991,400044,1542.8183
400083,609921,1543.8992
609921,400083,1543.8992
400009,609981,1548.4046
609981,400009,1548.4046
400083,609966,1549.9828
609966,400083,1549.9828
610004,610132,1553.8712
610132,610004,1553.8712
609872,610013,1558.7649
610013,609872,1558.7649
400021,610367,1570.0645
610367,400021,1570.0645
609904,610020,1578.9402
610020,609904,1578.9402
609928,610345,1579.0262
610345,609928,1579.0262
609828,610029,1582.7167
610029,609828,1582.7167
400084,610096,1603.5005
610096,400084,1603.5005
609955,610072,1605.3162
610072,609955,1605.3162
609959,610231,1605.7827
610231,609959,1605.7827
400081,610013,1611.7168
610013,400081,1611.7168
400011,400047,1612.4830
400047,400011,1612.4830
610057,610077,1630.3481
610077,610057,1630.3481
609909,610504,1631.4279
610504,609909,1631.4279
610081,610217,1640.9809
610217,610081,1640.9809
610194,610293,1644.3966
610293,610194,1644.3966
609991,610123,1645.1648
610123,609991,1645.1648
610032,610366,1651.0764
610366,610032,1651.0764
609917,610362,1655.4337
610362,609917,1655.4337
610015,610216,1666.0260
610216,610015,1666.0260
609842,610096,1674.7472
610096,609842,1674.7472
400071,610521,1675.3908
610521,400071,1675.3908
609820,610010,1677.0298
610010,609820,1677.0298
400083,609967,1679.6650
609967,400083,1679.6650
609983,610167,1679.8858
610167,609983,1679.8858
400046,610034,1680.2144
610034,400046,1680.2144
610034,610254,1680.2144
610254,610034,1680.2144
400041,610154,1680.7569
610154,400041,1680.7569
610019,610265,1680.7906
610265,610019,1680.7906
610086,610128,1687.1377
610128,610086,1687.1377
400075,609891,1688.5541
609891,400075,1688.5541
610194,610221,1690.5978
610221,610194,1690.5978
400083,610017,1701.9939
610017,400083,1701.9939
400020,610274,1706.8205
610274,400020,1706.8205
609867,610013,1710.6082
610013,609867,1710.6082
400078,609928,1715.0462
609928,400078,1715.0462
610028,610368,1716.8928
610368,610028,1716.8928
609872,610015,1718.7206
610015,609872,1718.7206
609921,609966,1720.1493
609966,609921,1720.1493
609855,610096,1727.1141
610096,609855,1727.1141
400020,610134,1730.0593
610134,400020,1730.0593
400050,609952,1738.8315
609952,400050,1738.8315
609966,610017,1742.8323
610017,609966,1742.8323
400040,610240,1743.3846
610240,400040,1743.3846
610058,610305,1746.9143
610305,610058,1746.9143
609777,609996,1750.3001
609996,609777,1750.3001
609870,609973,1753.0593
609973,609870,1753.0593
610085,610107,1763.0883
610107,610085,1763.0883
610048,610534,1766.7237
610534,610048,1766.7237
609979,610081,1768.5989
610081,609979,1768.5989
609983,610239,1768.8279
610239,609983,1768.8279
610133,610154,1771.3405
610154,610133,1771.3405
400027,610089,1774.8162
610089,400027,1774.8162
609780,610088,1775.9053
610088,609780,1775.9053
610085,610119,1779.6222
610119,610085,1779.6222
609895,609939,1784.3811
609939,609895,1784.3811
609873,610024,1785.4985
610024,609873,1785.4985
610240,610503,1787.2745
610503,610240,1787.2745
400111,609927,1788.6918
609927,400111,1788.6918
609893,610087,1790.5673
610087,609893,1790.5673
400120,609976,1792.0308
609976,400120,1792.0308
609952,610504,1793.2612
610504,609952,1793.2612
400112,610157,1793.8129
610157,400112,1793.8129
609834,610024,1796.3252
610024,609834,1796.3252
609834,609950,1797.7919
609950,609834,1797.7919
400044,610240,1803.1831
610240,400044,1803.1831
610060,610177,1804.1763
610177,610060,1804.1763
609853,609942,1807.4265
609942,609853,1807.4265
609829,610317,1807.7821
610317,609829,1807.7821
610112,610233,1812.7106
610233,610112,1812.7106
609955,610369,1814.6249
610369,609955,1814.6249
609930,610088,1816.8651
610088,609930,1816.8651
609818,610043,1819.8634
610043,609818,1819.8634
609966,610184,1826.4633
610184,609966,1826.4633
400089,609958,1827.8682
609958,400089,1827.8682
609977,610266,1827.9252
610266,609977,1827.9252
609790,609805,1833.0029
609805,609790,1833.0029
610217,610232,1833.5825
610217,610336,1833.5825
610232,610217,1833.5825
610336,610217,1833.5825
400047,610271,1833.7759
610271,400047,1833.7759
400111,609864,1848.1834
609864,400111,1848.1834
609919,610169,1849.9335
610169,609919,1849.9335
610102,610339,1851.3852
610339,610102,1851.3852
610130,610268,1853.8104
610268,610130,1853.8104
610213,610266,1860.9333
610266,610213,1860.9333
609928,610276,1862.3933
610276,609928,1862.3933
610229,610520,1863.6860
610520,610229,1863.6860
609792,610354,1866.0326
610354,609792,1866.0326
609978,610132,1872.5815
610132,609978,1872.5815
610125,610129,1874.6675
610129,610125,1874.6675
609920,610184,1881.2086
610184,609920,1881.2086
609920,610134,1884.5891
610134,609920,1884.5891
610218,610316,1887.4361
610316,610218,1887.4361
609812,610405,1889.4358
610405,609812,1889.4358
610123,610240,1892.6549
610240,610123,1892.6549
609853,610234,1895.5375
610234,609853,1895.5375
609900,610160,1908.6488
610160,609900,1908.6488
400011,610243,1909.4534
610243,400011,1909.4534
609854,610031,1910.4235
610031,609854,1910.4235
609922,610533,1917.1872
610533,609922,1917.1872
610046,610539,1918.5776
610539,610046,1918.5776
